"jahr","schulen","klassen","lerner","weiblich","männlich","deutsch","ausländisch","lehrkräfte"
"1990/91",7,236,7442,3492,3950,5902,1540,649
"1991/92",7,238,7526,3522,4004,5993,1533,660
"1992/93",7,240,7674,3584,4090,6087,1587,668
"1993/94",7,246,7944,3667,4277,6278,1666,662
"1994/95",7,248,8105,3738,4367,6394,1711,652
"1995/96",8,252,8176,3803,4373,6458,1718,656
"1996/97",8,256,8299,3850,4449,6486,1813,666
"1997/98",8,260,8404,3924,4480,6532,1872,654
"1998/99",9,266,8627,4010,4617,6710,1917,657
"1999/00",9,269,8645,4022,4623,6655,1990,681
"2000/01",9,271,8690,4094,4596,6710,1980,675
"2001/02",9,275,8773,4193,4580,6740,2033,668
"2002/03",9,280,8885,4310,4575,6861,2024,665
"2003/04",9,283,9065,1071,7994,6896,2169,671
"2004/05",9,286,9250,4601,4649,7042,2208,665
"2005/06",9,285,9372,4702,4670,7095,2277,675
"2006/07",9,282,9412,4707,4705,7059,2353,700
"2007/08",9,281,9387,4742,4645,7049,2338,681
"2008/09",9,280,9242,4659,4583,6929,2313,685
"2009/10",9,279,9172,4607,4565,6978,2194,687
"2010/11",9,276,9091,4563,4528,6969,2122,708
"2011/12",9,273,9077,4540,4537,7203,1874,711
"2012/13",9,270,9072,4551,4521,7391,1681,705
"2013/14",9,269,9198,4568,4630,7629,1569,723
"2014/15",9,270,9186,4577,4609,7812,1374,757
"2015/16",9,272,9210,4558,4652,7826,1384,759
"2016/17",9,278,9405,4642,4763,7921,1484,763
"2017/18",9,282,9362,4591,4771,7811,1551,789
"2018/19",9,280,9308,4597,4711,7702,1606,805