"Studienbereich","Insgesamt","Semester 1/2","Semester 3/4","Semester 5/6","Semester 7/8","Semester 9/10","Semester 11/12","Semester 13/14","Semester 15+"
"Wirtschaftswissenschaften",186202,57528,46961,37401,21203,8735,4480,2702,7192
"Informatik",127405,19515,16084,13785,13036,12156,10698,10062,32069
"Rechtswissenschaften",119426,17951,15586,12918,12816,12787,11381,9201,26786
"Humanmedizin",98570,12119,11788,11451,11105,10857,10477,10723,20050
"Erziehungswissenschaften",85487,12244,11742,11321,11335,9916,8221,5542,15166
"Germanistik",78754,14011,10640,9861,9565,8709,7123,5362,13483
"Maschinenbau, Verfahrenstechnik",77669,11322,10098,8823,8306,8317,7662,7277,15864
"Mathematik",68320,11299,8473,7642,7244,6601,5651,5084,16326
"Biologie",61186,10868,9192,8394,7525,6304,5538,4215,9150
"Psychologie",55653,6584,6788,6160,6309,6315,5575,4199,13723
"Physik, Astronomie",52347,8559,5832,5058,4655,4383,4102,4310,15448
"Chemie",51484,8358,6490,5664,5346,4983,4682,4093,11868
"Anglistik, Amerikanistik",50751,9201,7797,6750,6049,5160,4321,3547,7926
"Geschichte",43505,6134,4528,4368,3923,3811,3611,3400,13730
"Sozialwissenschaften",43399,6459,5857,5398,5485,4556,3842,3187,8615